"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"93","EM0000380082","234.8-무229ㄴ","나를 이해하는 시간  : 나를 제대로 알아야 모든 문제가 해결된다","반 무디 지음  ;  배응준 옮김","규장","2019","18000","종합자료실"
"94","EM0000380083","234.8-티63ㄹ","랍비 예수, 제자도를 말하다  : 지금, 여기에서 제자로 살아간다는 것","로이스 티어베르그, 앤 스팽글러 지음  ; 손현선 옮김","국제제자훈련원","2019","16000","종합자료실"
"95","EM0000380084","231.09-김72ㄹ","루터 vs 칼뱅  = Martin Luther vs Jean Calvin","김재성 지음","세창","2018","18000","종합자료실"
"96","EM0000380085","231-김64ㅁ","미완의 종교개혁과 21세기 신학운동  : 한국 개신교회가 21세기에 반드시 개혁해야 할 유교적 신앙과 신학이야기","김영우 지음","바른북스","2019","13000","종합자료실"
"97","EM0000380086","230.4-노19ㅂ","방장의 노래  : 어느 방장이 부른 임마누엘의 노래","노길상 지음","코람데오","2019","13000","종합자료실"
"98","EM0000380087","220.99-이73ㅂ","부처님 계율대로  : 자운대율사 일대기","이정범 지음  ; 김종도 그림","운주사","2019","17000","종합자료실"
"99","EM0000380088","234.8-도93ㅂ","분별  : 깨어 있음, 그 멀고도 가까운 길을 향해","로즈 메리 도허티 지음  ; 한국샬렘영성훈련원 옮김","한국 샬렘","2019","10000","종합자료실"
"100","EM0000380089","220.1-칼237ㅂ","불교 철학  : 역사 분석","데이비드 J. 칼루파하나 지음  ; 나성 옮김","이학사","2019","18000","종합자료실"
"101","EM0000380090","220-대91ㅂ","불교 개설  : 부처님의 가르침, 불자의 실천","대한불교조계종 포교원 편찬","조계종","2019","15000","종합자료실"
"102","EM0000380091","220.1-노819ㅅ","선심사가론","노치허 지음","학자원","2019","25000","종합자료실"
"103","EM0000380092","233.04-주61ㅅ","성경 두껍지만 간단하다","주아심 지음","목양","2019","25000","종합자료실"
"104","EM0000380093","233-위63ㅅ","성경의 패러독스, 그 특별한 지혜 : 뒤집으면 비로소 보이는 진리","워렌 위어스비 지음 ; 장택수 옮김","디모데","2019","13000","종합자료실"
"105","EM0000380094","233.04-유51ㅅ","세 가지 신자수업 : 예수 믿는 사람다워지는 세 역할 공부","유상섭 지음","아르카","2019","12000","종합자료실"
"106","EM0000380095","228.7-자94ㅅ","스님, 기도는 어떻게 하는 건가요  : 치유와 행복, 성취를 부르는 기도","자현 지음","조계종","2019","17000","종합자료실"
"107","EM0000380096","234.3-신58ㅅ","스침에서 마주침으로  : 하나님과 통通하라  = From a touch to the encounter : to communicate with God","신승재 지음","CLC(기독교문서선교회)","2019","10000","종합자료실"
"108","EM0000380097","228.953-이53ㅇ","어떻게 살 것인가  : 교산 이성택 교무의 원불교 정전 강의","이성택 지음","가디언","2019","23000","종합자료실"
"109","EM0000380098","235.36-진64ㅇ","억압에서 자유로  = From repression to liberty","진영정 지음","좋은땅","2019","12000","종합자료실"
"110","EM0000380099","234.8-이66ㅇ","오늘, 믿음으로 산다는 것","이요셉 글·사진","규장","2019","14000","종합자료실"
"111","EM0000380100","234.8-최51ㅇ","우물가 두레박 : 마음의 평화와 행복한 삶을 위한 3분 생활묵상","최상석 지음","동연","2019","15000","종합자료실"
"112","EM0000380101","234.8-김211ㅇ","은혜에서 미끄러질 때  = Falling away from grace","김남준 지음","생명의말씀사","2019","13000","종합자료실"
"113","EM0000380102","중220.912-팡239ㅈ","중국불교와 문화전통","팡리톈 지음  ; 김승일, 이경민 옮김","경지","2018","25800","중국문화정보실"
"114","EM0000380103","234.8-이75ㅈ","질문 있습니까 : 오래오래 빛으로 가슴에 남아 바른 신앙의 길을 가도록 인도하는 책","이종구 지음","쿰란","2019","14000","종합자료실"
"115","EM0000380104","234.8-이17ㅊ","차이나는 복의 클래스  = Heavenly blessings in your life","이구영 지음","나무&가지","2019","12000","종합자료실"
"116","EM0000380105","231-박93ㅋ","칼빈 신앙수업","박헌성, 김영배 [공]지음","바이블리더스","2019","15000","종합자료실"
"117","EM0000380106","234.8-손19ㅋ","킹덤 빌더 라이프스타일  = Kingdom builder lifestyle  : 성령의 조명을 받는 그리스도인의 매일 영성","손기철 지음","규장","2019","15000","종합자료실"
"118","EM0000380107","233.37-켈233ㅌ","팀 켈러, 오늘을 사는 잠언","팀 켈러, 캐시 켈러 지음  ; 윤종석 옮김","두란노","2018","20000","종합자료실"
"119","EM0000380108","233.492-켈233ㅂ","(팀 켈러의) 방탕한 선지자  : 높아진 자아, 하나님을 거부하다","팀 켈러 지음  ; 홍종락 옮김","두란노","2019","16000","종합자료실"
"120","EM0000380109","230.99-츠49","(한 권으로 읽는) 츠빙글리의 신학","강경림 [외]지음","세움북스","2019","12000","종합자료실"
"121","EM0000380110","234.8-최45ㅎ","(생명을 살리고 하나님 나라를 확장하는) 한 그릇 사명","최복이 지음","두란노","2019","10000","종합자료실"
"122","EM0000380111","235.4-김53ㅎ","행복모임 : 이 땅에 하나님의 나라를 세우는 전도 소그룹 : happy meeting","김성곤 지음","두날개","2019","15000","종합자료실"
"123","EM0000380112","368.11-권73ㄴ","(대한민국에서 직장인이 꼭 알아야 할 Q&A) 노동법 100  : 최신 개정법 반영  : 직장 생활에서 모르면 당하고 알면 대처하는 생존 가이드!","권정임 지음","생각비행","2019","26000","종합자료실"
"124","EM0000380113","362-심14ㅇ","알기 쉬운 교양 헌법","심경수 지음","궁미디어(충남대학교)","2019","12000","종합자료실"
"125","EM0000380114","325.26-초69ㅂ","(오늘 배워서 내일 바로 써먹는) 비즈니스 스토리텔링 비법  : 비즈니스를 성공으로 이끄는 스토리텔링 기술","에스더 초이 지음  ; 최지수 옮김","알맹","2019","15000","종합자료실"
"126","EM0000380115","309.1111-김69ㅂ","(좌충우돌 아줌마의) 북맹탈출 평양이야기  : 평양을 제집 드나들듯 했던 대북사업 전문가의 「레알 北큐멘터리」","김이경 글·사진","내일을여는책","2019","15000","종합자료실"
"127","EM0000380116","325.24-강77ㅁ","(The) 맛있는 리더십","강준의 지음","형설","2019","13000","종합자료실"
"128","EM0000380117","325.04-겐833ㄱ","가자, 어디에도 없었던 방법으로","테라오 겐 지음 ; 남미혜 옮김","arte(아르테)","2019","16000","종합자료실"
"129","EM0000380118","320.189-진98ㄱ","가치를 만드는 사람들  : 사회혁신기업 및 사회적경제 필독서","진희선 지음","인사이트브리즈","2019","16000","종합자료실"
"130","EM0000380119","367.564-박98ㄱ","경매 권리분석 이렇게 쉬웠어  : 생초보도 할 수 있는 초간단 권리분석법 대공개!","박희철 지음","지혜로","2019","18000","종합자료실"
"131","EM0000380120","373.4-이811ㄱ","공부가 쉽다구요","이창수 지음","율곡","2019","15000","종합자료실"
"132","EM0000380121","325.1-바69ㄱ","구글 스토리  : 상상할 수 없던 세계의 탄생","데이비드 A. 바이스, 마크 맬시드 지음  ; 우병현 옮김","인플루엔셜","2019","25000","종합자료실"
"133","EM0000380122","325.5-추65ㄱ","구독과 좋아요의 경제학  : 플랫폼을 뛰어넘는 궁극의 비즈니스 솔루션","티엔 추오, 게이브 와이저트 지음  ; 박선령 옮김","부키","2019","18000","종합자료실"
"134","EM0000380123","340.265-마829ㄱ","군주론","니콜로 마키아벨리 지음  ; 서종민 옮김","느낌이있는책","2019","12800","종합자료실"
"135","EM0000380124","325.1-마58ㄱ","기본으로 이기다, 무인양품  : 38억 엔 적자 회사를 최강 기업으로 만든 CEO의 경영 수첩","마쓰이 타다미쓰 지음  ; 박제이 옮김","위즈덤하우스","2019","14000","종합자료실"
"136","EM0000380125","909.5-임79ㄱ","기억 전쟁  : 가해자는 어떻게 희생자가 되었는가","임지현 지음","Humanist(휴머니스트)","2019","18000","종합자료실"
"137","EM0000380126","327-김225ㄱ","김변이 알려주는 핀테크의 비밀  : 알아야 돈이 보인다","김도형 지음","Samil(삼일인포마인)","2019","19000","종합자료실"
"138","EM0000380127","325.21-권64ㄲ","꼼꼼하게 준비하고 깐깐하게 창업하라","권영산 지음","바른북스","2019","15500","종합자료실"
"139","EM0000380128","327.87-김225ㄴ","나는 오늘부터 부자가 되기로 결심했다 : 서른셋 무일푼 흙수저는 어떻게 부동산으로 경제적 자유를 얻었을까","김도윤 지음","예문","2019","13800","종합자료실"
"140","EM0000380129","181.53-이14ㄴ","나는 왜 아이디어가 궁할까  : 어디서나 통하는 창의성 훈련법","이경열 글","다할미디어","2019","13000","종합자료실"
"141","EM0000380130","340.4-노96ㄴ","노회찬, 함께 꾸는 꿈","노회찬 지음","후마니타스","2019","18000","종합자료실"
"142","EM0000380131","325.3-신225ㄴ","누구나 사람 쓰기 전에는 그럴싸한 계획이 있다","신동명 지음","아틀라스북스","2019","18000","종합자료실"
"143","EM0000380132","331.541-하69ㄴ","뉴파워  : 새로운 권력의 탄생  : 초연결된 대중은 어떻게 세상을 바꾸는가","제러미 하이먼즈, 헨리 팀스 지음  ; 홍지수 옮김","비즈니스북스","2019","18000","종합자료실"
"144","EM0000380133","332.4-리75ㄷ","다민족 일본","존 리 지음  ; 김혜진 옮김","소명","2019","18000","종합자료실"
"145","EM0000380134","321.54-신73ㄷ","달빛 노동 찾기  : 당신이 매일 만나는 야간 노동자 이야기","신정임, 최규화, 정윤영 기록  ; 윤성희 사진  ; 김영선 해설","오월의봄","2019","14000","종합자료실"
"146","EM0000380135","325.21-이225ㄷ","대학생 사장님  : 돈 없이 창업해서 졸업 전에 1천만 원 통장 만들기","이동혁 지음","이담 Books","2019","12000","종합자료실"
"147","EM0000380136","351.176-한17ㄷ-2","덜미, 완전범죄는 없다  : 범죄 현장에서 쫓고 쫓기는 두뇌 싸움. 2","한국일보 경찰팀 지음","북콤마","2019","16500","종합자료실"
"148","EM0000380137","334.6-도826ㄷ","도쿄대 고령사회 교과서  : 인생 100세 시대 무엇을 준비할 것인가","도쿄대 고령사회 종합연구소 지음  ; 최예은 옮김","행성B(행성비)","2019","35000","종합자료실"
"149","EM0000380138","327.04-허832ㄷ","돈 없이 111세까지 살아버린다면","허태호 지음","Ritec Contents(리텍 콘텐츠)","2019","16000","종합자료실"
"150","EM0000380139","340.99-쇼838ㅁ-1","마오쩌둥. 1-2","필립 쇼트 지음  ; 양현수 옮김","교양인","2019","29000","종합자료실"
